#{"t_start": 1763045238.180543, "env_id": "None"}
r,l,t
-15.7,17,0.851547
-18.5,25,0.853058
-28.7,27,0.854498
-25.4,24,0.855799
-20.9,69,0.859881
-9.2,22,0.86107
-24.6,36,0.862892
-3.3,33,0.864514
-21.4,24,0.866171
-25.3,53,0.868752
-18.7,27,0.870153
-7.8,28,0.871556
-9.5,15,0.872763
-22.3,23,0.873989
-35.2,162,0.881825
-5.5,35,0.883572
-0.4,34,0.885628
-23.5,35,0.887334
-18.8,18,0.888266
-31.8,48,0.890644
3.1,79,0.894949
-0.9,29,0.896656
-9.2,12,0.897693
-19.7,37,0.900246
-19.1,31,0.902527
-3.5,35,0.904399
-21.7,17,0.905362
-25.9,19,1.094844
-34.9,69,1.129132
-20.8,18,1.138662
-19.2,22,1.149436
-31.0,20,1.158287
3.7,13,1.16466
-32.2,92,1.211734
-25.5,75,1.24898
-0.0,50,1.276459
-18.4,34,1.292299
-22.5,25,1.302986
-14.3,23,1.314329
-36.0,110,1.365432
-4.8,68,1.400767
-34.7,87,1.440632
-25.7,17,1.449498
-24.0,50,1.469992
-16.9,29,1.482976
-12.9,49,1.505753
-17.7,97,1.54747
-22.4,34,1.562249
-3.9,19,1.572654
-20.4,74,1.60702
-23.0,20,1.616899
-14.5,25,1.626798
-15.5,55,1.653102
-14.0,50,1.673834
-3.4,94,1.718455
-2.7,37,1.733874
-27.1,51,1.75865
-16.6,16,1.765244
-12.7,87,1.805957
-31.7,97,1.851436
-25.7,37,1.870083
-30.1,41,1.887899
-24.3,43,1.909186
-31.8,88,1.953284
-32.2,72,1.989994
-25.9,19,2.001715
-9.6,36,2.017847
-27.4,24,2.028137
-10.5,25,2.039402
-7.7,37,2.054907
-21.9,39,2.073869
-24.1,21,2.084816
-15.8,28,2.099747
-23.5,15,2.108198
-20.0,10,2.112492
-28.7,27,2.124363
-20.8,18,2.133387
-19.7,17,2.141062
-20.4,134,2.204171
-27.9,39,2.221423
-15.2,22,2.234226
-20.2,32,2.249477
-22.0,50,2.273942
-12.9,109,2.325143
-3.1,31,2.34146
-18.1,21,2.351996
-7.4,44,2.373421
-33.1,31,2.388963
-18.1,41,2.407178
-16.4,14,2.415877
-26.7,127,2.477999
-32.5,105,2.525623
-26.5,25,2.546357
-0.8,48,2.567948
11.4,86,2.608678
-23.9,19,2.617414
-26.7,47,2.641527
-36.6,96,2.685656
-13.8,118,2.746383
-13.4,44,2.769265
-18.8,98,2.816659
-34.8,98,2.866311
-9.0,20,2.8762
-20.5,25,2.888639
-17.3,93,2.93367
-18.5,25,2.946033
-16.9,29,2.960347
-8.8,38,2.977423
-27.2,62,3.006938
-11.0,40,3.024205
-29.8,108,3.072691
-11.7,37,3.08957
-6.6,16,3.09661
-27.1,51,3.119539
-19.7,117,3.172783
-25.4,44,3.19301
-24.5,45,3.214508
-12.6,86,3.252071
-8.2,62,3.278325
-20.4,14,3.284894
-16.2,32,3.300591
-25.6,26,3.311603
-21.2,22,3.322533
-26.3,43,3.340484
-31.9,139,3.413012
-35.1,71,3.447602
-29.6,186,3.534048
-24.4,14,3.543447
-24.0,30,3.561044
-7.5,35,3.58015
-28.0,30,3.594827
-5.1,11,3.599171
-22.1,21,3.610584
-28.0,110,3.659488
-11.1,31,3.673507
-20.3,43,3.692189
-18.9,29,3.705765
-22.6,56,3.733393
-21.3,13,3.739137
-22.1,21,3.748232
-14.4,14,3.756872
-14.8,38,3.772604
-2.7,37,3.792084
-10.8,58,3.817196
-11.8,68,3.852236
-21.2,62,3.883134
-22.4,54,3.909878
-14.0,30,3.924791
-14.0,30,3.939307
-25.7,37,3.956203
-20.1,61,3.986812
-6.2,92,4.029872
-12.2,32,4.044105
-24.5,45,4.064773
-22.2,12,4.071049
-4.7,17,4.079436
-11.4,44,4.099504
-4.1,21,4.109523
-18.5,25,4.122255
-38.4,114,4.174947
-17.7,37,4.193854
-9.3,33,4.211103
-13.9,39,4.229674
-22.0,30,4.244427
-27.4,44,4.265201
-29.7,77,4.303766
-25.2,22,4.314805
-18.4,14,4.321206
-30.1,121,4.375296
-4.3,43,4.396414
-24.8,58,4.423851
-3.0,40,4.442037
-22.0,60,4.470363
-19.2,62,4.496324
2.0,50,4.518882
-17.4,64,4.548942
-12.4,94,4.588235
-5.7,37,4.606021
-14.6,106,4.661903
-23.7,17,4.668946
-23.0,40,4.68645
-8.4,14,4.69531
-11.8,258,4.815808
-28.2,52,4.837579
-30.3,63,4.868094
-34.2,52,4.890662
-23.2,22,4.899092
-9.1,61,4.930036
-22.8,78,4.972254
-14.6,16,4.979562
-13.3,33,4.993184
-24.1,41,5.02037
-5.0,60,5.049748
-31.3,33,5.064728
-10.8,38,5.08356
-25.8,28,5.103075
-20.6,16,5.112917
-21.6,46,5.138706
-8.4,54,5.164187
-12.6,76,5.204229
-20.2,52,5.230379
-22.6,136,5.300727
-26.4,94,5.349
-32.1,61,5.38001
-23.8,48,5.403947
-15.6,86,5.458013
-28.0,150,5.529605
-20.8,78,5.570673
-17.5,15,5.577128
-28.0,90,5.622466
-19.6,26,5.634086
-23.4,104,5.686571
10.1,29,5.703752
-9.7,37,5.722661
-18.6,16,5.730187
-18.4,34,5.746497
-27.4,64,5.779977
-24.0,50,5.805245
5.8,102,5.861762
-26.2,82,5.907345
-2.5,55,5.934413
-13.0,20,5.944081
-20.1,21,5.95305
-30.1,41,5.972263
-16.3,23,5.983662
-2.7,57,6.008985
-7.7,107,6.060763
-15.2,102,6.108129
-20.4,14,6.11588
-20.0,30,6.130466
-11.7,17,6.140876
-20.9,49,6.164202
-11.9,39,6.183491
-11.8,28,6.196452
-20.2,52,6.221851
-17.9,19,6.229525
-26.1,61,6.260676
-34.8,178,6.342161
-6.8,38,6.360531
-17.7,77,6.39681
-5.9,99,6.443246
-18.7,87,6.480921
5.1,39,6.50012
-24.8,38,6.519482
-5.2,22,6.531307
-5.4,64,6.563241
-5.1,51,6.588328
-26.0,70,6.619562
-12.7,27,6.631537
-19.9,19,6.639948
-20.7,27,6.65397
-22.3,43,6.673955
4.3,47,6.696678
-39.1,131,6.756875
-6.0,50,6.779675
-2.2,22,6.791975
-14.4,54,6.817649
-28.0,50,6.842655
-23.4,44,6.862567
1.3,37,6.878857
-23.1,31,6.894414
-27.3,73,6.929806
-27.2,42,6.948354
-22.3,43,6.966755
-25.6,66,6.999776
-27.1,51,7.023283
0.5,45,7.042516
8.1,29,7.055581
-17.7,17,7.06369
-19.2,42,7.084531
-27.9,59,7.111621
-34.8,78,7.142923
-31.8,48,7.16525
-9.5,125,7.220934
-30.8,38,7.238414
-10.3,23,7.250501
-19.1,31,7.263063
-30.6,116,7.332232
-20.6,76,7.40311
-19.4,24,7.426362
-13.0,80,7.502688
-6.6,36,7.538611
2.1,19,7.560521
-18.1,21,7.579781
-25.3,33,7.615439
-21.2,82,7.700866
-34.0,90,7.78867
-17.0,40,7.829575
-16.9,49,7.884252
-19.9,19,7.906275
-32.0,70,7.977129
-20.0,30,8.005924
-17.8,48,8.05924
-35.4,124,8.186589
-25.2,42,8.235736
-21.7,17,8.250837
-38.8,178,8.439419
-13.5,35,8.478809
-7.7,17,8.494683
-15.8,108,8.606436
-6.2,32,8.639181
-20.9,49,8.689954
-10.9,79,8.778381
-19.3,113,8.894558
-17.5,35,8.935921
-19.5,115,9.046552
-17.4,24,9.070842
-25.1,31,9.099428
-31.0,100,9.20212
-4.6,86,9.30247
-12.2,32,9.331602
-6.9,49,9.379929
-19.1,11,9.392128
-31.4,44,9.436821
-13.6,26,9.461807
-19.6,46,9.511487
-27.0,20,9.535358
-6.9,29,9.56572
-36.3,123,9.692621
-22.0,50,9.744095
-21.6,26,9.77249
-7.5,15,9.796935
-31.9,119,9.923645
-20.4,34,9.961188
-24.1,21,9.9828
-24.1,81,10.077699
-19.7,37,10.123868
-19.3,133,10.277583
-3.3,83,10.369493
-1.6,26,10.39875
-11.3,13,10.411156
-21.6,46,10.459939
-20.4,34,10.494019
-25.7,77,10.578302
-28.7,27,10.605259
-18.3,23,10.628761
-17.2,42,10.672342
-14.8,18,10.689166
1.9,11,10.702985
-39.1,111,10.820291
-23.3,33,10.85854
-21.5,15,10.874697
-2.9,49,10.928259
-24.7,27,10.956572
-9.3,13,10.970925
-18.3,63,11.042631
-24.8,38,11.078802
-17.7,17,11.095273
-7.0,20,11.115836
-18.7,27,11.146643
-19.8,48,11.193688
-8.0,30,11.226798
-29.5,55,11.288271
-30.7,127,11.430093
-11.2,62,11.500525
-19.8,28,11.52829
-39.2,182,11.726505
-31.6,166,11.915668
-10.5,105,12.029707
-11.1,51,12.085552
-18.6,56,12.142366
1.1,29,12.170972
-30.5,25,12.194969
-23.4,24,12.219162
-21.1,11,12.232777
-19.2,42,12.280869
-25.8,48,12.334516
-11.8,28,12.367735
-25.3,73,12.453899
-7.3,53,12.509222
-20.9,69,12.581856
-29.1,31,12.614785
-26.8,38,12.65192
-25.8,108,12.797447
-29.9,59,12.929066
-18.8,78,12.967557
-29.2,162,13.043974
-22.5,25,13.055086
-23.3,33,13.07148
-29.1,71,13.10333
-20.5,25,13.116812
5.0,50,13.140131
-21.1,51,13.163805
-27.0,100,13.210994
-21.6,46,13.233525
-42.5,185,13.324836
-23.3,73,13.528229
-19.2,62,13.556987
-26.0,70,13.59176
-34.1,121,13.646504
-32.6,76,13.683007
-15.6,96,13.72911
-8.3,33,13.743855
-27.4,24,13.75474
-22.9,29,13.77063
-14.3,23,13.781113
-11.9,99,13.829975
-3.7,17,13.839039
-22.1,61,13.869826
-20.0,10,13.873538
-21.3,53,13.897497
5.4,36,13.914282
-11.1,31,13.929058
-25.1,61,13.958374
-26.6,16,13.966701
-18.6,36,13.986704
2.6,124,14.044641
-15.9,79,14.082123
-27.7,37,14.098913
-16.0,30,14.114287
-31.4,44,14.133853
-5.1,31,14.150206
-21.2,62,14.178504
-18.0,30,14.193698
-3.6,26,14.206073
-18.8,118,14.262421
-23.7,37,14.27859
-21.1,31,14.29562
-23.2,22,14.304307
-22.1,41,14.322662
2.2,138,14.384988
-18.1,21,14.393249
-15.5,15,14.400987
-20.9,29,14.412536
-16.4,74,14.449732
-0.3,133,14.510126
-17.3,53,14.533575
-26.6,16,14.541587
-14.5,25,14.553951
-7.9,19,14.563939
-27.3,53,14.590046
-21.7,57,14.617807
-26.7,67,14.649198
-6.7,27,14.661362
-23.7,37,14.677159
-25.5,35,14.691951
-21.6,26,14.70673
-23.1,31,14.718576
-22.1,41,14.757355
-15.6,76,14.839884
-28.2,52,14.889506
-21.1,121,15.017361
-24.8,18,15.034421
-14.5,85,15.139845
-9.0,90,15.232837
-11.1,201,15.431199
-19.1,51,15.486033
-6.8,58,15.554562
-24.5,65,15.624264
-24.4,34,15.657279
-15.4,24,15.683231
0.6,24,15.708397
-30.9,49,15.770806
-24.5,25,15.795128
-25.9,59,15.858669
-13.1,31,15.888347
2.9,81,15.978416
-33.2,122,16.104374
-21.3,13,16.117869
-19.1,31,16.157797
-29.0,120,16.289474
4.1,119,16.413512
-7.4,74,16.489347
-26.4,74,16.656183
-17.9,19,16.682527
-19.7,57,16.739771
-17.5,15,16.747825
-10.7,47,16.768771
-27.4,44,16.790829
-24.5,65,16.823729
-4.3,43,16.843699
-19.2,42,16.864201
-28.6,36,16.882557
-19.7,37,16.899665
-11.4,64,16.932556
-19.7,17,16.939949
-27.3,73,16.975928
-4.9,49,16.998319
-24.1,41,17.017925
-17.0,80,17.053658
-11.5,35,17.070643
-27.4,24,17.082824
-25.6,46,17.104289
-27.4,84,17.143204
-16.3,63,17.172657
-0.6,16,17.180367
-15.3,13,17.186237
-6.3,73,17.220912
-6.6,36,17.237763
-22.2,32,17.252306
-19.1,31,17.265034
-24.3,23,17.276015
5.4,46,17.29888
-16.9,49,17.322093
-27.0,40,17.340509
-26.9,69,17.371095
-22.5,25,17.383598
-18.1,41,17.403122
-21.5,35,17.417277
-20.8,58,17.444527
-2.5,25,17.455005
-5.5,15,17.462981
-20.2,152,17.530543
-30.9,69,17.561377
-25.0,60,17.589947
-10.2,52,17.61335
-25.7,37,17.629664
-27.8,48,17.650002
-30.2,72,17.682909
-24.8,58,17.709028
-9.0,20,17.718331
-12.8,38,17.735491
-24.2,92,17.778318
-32.5,65,17.807399
-18.2,32,17.822704
-28.8,78,17.857157
-14.4,14,17.864777
-22.7,87,17.902781
-18.8,38,17.919973
-27.1,91,17.960695
-32.6,56,17.989561
-33.5,215,18.088294
-13.8,48,18.111562
-1.6,76,18.146986
-24.1,41,18.168983
-3.7,67,18.199954
-22.9,29,18.214908
-36.4,174,18.29562
-37.3,133,18.358336
-18.2,32,18.37379
-9.6,26,18.386654
-35.5,75,18.422864
-22.4,54,18.448284
-5.9,59,18.476743
-29.2,82,18.512356
-4.7,47,18.553388
-16.5,25,18.586797
-16.8,58,18.663381
-16.5,25,18.696766
4.2,228,18.978545
-13.3,93,19.071531
-23.6,66,19.140813
-3.2,72,19.206908
3.4,26,19.232173
-24.4,34,19.269699
-9.8,38,19.306348
-14.7,47,19.362856
-36.6,96,19.461112
-17.1,51,19.516999
-22.0,30,19.54307
-25.1,51,19.597356
-20.9,29,19.627789
-17.5,15,19.645999
-18.5,25,19.677304
-23.4,24,19.699237
-0.4,14,19.717957
-38.5,105,19.832068
-24.6,56,19.908552
-27.8,68,19.981172
-5.5,35,20.014313
-17.9,19,20.032837
-14.6,16,20.047863
-5.7,37,20.08584
-14.6,36,20.125816
1.9,51,20.179528
-32.1,61,20.244411
-24.7,47,20.293293
-21.9,19,20.309573
-14.4,34,20.352651
-12.2,12,20.363579
-6.4,44,20.415668
-17.9,19,20.435071
-24.1,21,20.457636
-29.5,35,20.492027
-17.4,24,20.515025
-19.0,20,20.543032
-21.3,33,20.58117
-2.8,28,20.609882
-26.2,32,20.644528
-13.7,37,20.678388
-23.8,28,20.70681
-26.5,25,20.732824
-18.6,176,20.930484
-21.3,33,20.970096
-30.7,67,21.039422
-34.8,178,21.238011
-9.1,21,21.262838
-15.6,26,21.293881
-24.8,158,21.458074
-31.9,59,21.522467
-14.3,93,21.620775
-25.6,46,21.674207
-14.6,16,21.692456
-21.2,22,21.716077
-19.1,11,21.728089
-28.0,90,21.827789
-21.0,20,21.853149
-24.5,25,21.884755
-13.4,64,21.956412
-11.5,35,21.998083
-34.6,136,22.150846
-38.4,194,22.365242
-22.9,29,22.398297
-23.9,59,22.46631
-24.7,87,22.572046
-16.8,78,22.655851
-7.2,52,22.71291
-27.2,22,22.742128
-14.3,43,22.787877
-15.6,46,22.845894
-24.1,61,22.914227
-28.1,61,22.980699
-27.2,22,23.008777
-20.4,14,23.026821
-9.6,26,23.065609
-12.8,98,23.181709
-22.5,25,23.216039
2.2,18,23.233896
-22.8,38,23.281307
-19.4,24,23.310355
-20.0,30,23.345634
-19.5,135,23.49713
-19.3,33,23.53327
-6.7,27,23.569981
-3.3,13,23.590262
-19.5,55,23.648656
-18.5,45,23.698719
-30.7,67,23.766779
5.5,35,23.811309
-31.6,46,23.859125
-26.2,32,23.898455
-25.9,59,23.961975
-17.8,28,23.994176
-20.4,34,24.029556
-18.6,16,24.047309
-21.1,51,24.112465
-23.5,35,24.155185
-23.0,20,24.17948
3.8,42,24.22672
-20.6,16,24.245844
-17.5,15,24.262793
-7.2,42,24.312171
-13.9,79,24.394679
-24.8,18,24.421178
-3.6,16,24.437547
-11.0,60,24.503632
-0.3,53,24.560012
-20.6,16,24.601217
13.4,106,24.783773
1.8,42,24.840993
-19.7,17,24.862141
-1.6,26,24.894805
-25.0,60,24.943276
-25.3,33,24.957904
-36.9,149,25.025778
-35.3,73,25.061679
-1.1,21,25.072185
-23.6,46,25.096549
-19.7,17,25.105613
-22.8,78,25.140585
